Asunto,Mensaje,Urgencia
"Explosión en la fábrica,""Se ha registrado una explosión en la fábrica local. Los equipos de emergencia están en el lugar. Por favor, mantenga la distancia."",""Urgente"""
"Incendio en el parque,""Se ha declarado un incendio en el parque central. Se recomienda a los visitantes que salgan inmediatamente y se dirijan a áreas seguras."",""Urgente"""
"Accidente en la carretera,""Se ha producido un accidente múltiple en la carretera. Se están desviando los vehículos. Evite el área y siga las indicaciones."",""Urgente"""
"Incendio en la escuela,""Se ha declarado un incendio en la escuela. Todos los estudiantes deben evacuar inmediatamente y dirigirse al punto de reunión designado."",""Urgente"""
"Incendio en el vecindario,""Se ha reportado un incendio en el vecindario. Todos los residentes deben evacuar inmediatamente y seguir las instrucciones de los bomberos."",""Urgente"""
"Accidente de tren,""Ha ocurrido un accidente en la línea de tren. Se recomienda evitar el área y buscar rutas alternativas."",""Urgente"""
"Alerta de incendio,""Se emite una alerta de incendio en la zona. Los residentes deben estar preparados para evacuar si es necesario."",""Urgente"""
"Accidente de autobús,""Un autobús ha tenido un accidente en la carretera. Los servicios de emergencia están en camino. Por favor, evite el área."",""Urgente"""
"Incendio en la planta química,""Se ha desatado un incendio en la planta química. Los bomberos están trabajando para controlar la situación. Mantenga distancia."",""Urgente"""
"Colisión de vehículos,""Se ha reportado una colisión entre varios vehículos en la autopista. Las autoridades están gestionando la situación. Evite la zona."",""Urgente"""
"Emergencia por humo,""Se ha detectado un incendio en el edificio. Evacúe inmediatamente y diríjase a un lugar seguro."",""Urgente"""
"Incendio en el bosque,""Un incendio forestal está avanzando rápidamente. Se recomienda a los residentes en áreas cercanas que se preparen para evacuar."",""Urgente"""
"Accidente en la intersección,""Un accidente grave ha ocurrido en la intersección de la calle X y Y. La policía está en el lugar, evite la zona."",""Urgente"""
