urgencia	asunto	texto
Poco Urgente	Pensando en la cena	Considera hacer fideos algún día esta semana; es un platillo sencillo.
Poco Urgente	Plan de comidas	Mientras planeas tus comidas, considera agregar fideos a la lista para un plato fácil.
Poco Urgente	Sugerencia para la cena	Recuerda que podrías preparar fideos un día de esta semana, es fácil y rápido.
Poco Urgente	Recomendación para la compra	No olvides comprar fideos la próxima vez que vayas al supermercado, son un buen complemento.
Poco Urgente	Planificación de la semana	Ten en mente que los fideos son una buena opción para una cena ligera esta semana.
Poco Urgente	Idea de receta	Si te apetece algo sencillo, considera cocinar fideos algún día de esta semana.
Poco Urgente	Recuerda la compra	Pensando en la próxima compra, ¿has considerado comprar fideos?
Poco Urgente	Pregunta sobre la cena	¿Te gustaría incluir fideos en nuestra cena de esta semana? Es solo una sugerencia.
Poco Urgente	Plan de comidas	Simplemente te recuerdo que tener fideos en casa puede ser útil para una comida rápida.
Poco Urgente	Consejo de cocina	Para una cena fácil, no olvides que los fideos son una opción que siempre funciona.
Poco Urgente	Organización de compras	Para la próxima vez que hagas compras, sería útil añadir fideos a la lista.
Poco Urgente	Planificación de recetas	Puedes considerar incluir fideos en tu menú para la próxima semana, es una opción versátil.
Medio	Compra de ingredientes	No olvides comprar fideos y otros ingredientes para la cena del sábado. Es importante que tengamos todo a tiempo.
Medio	Sugerencia de menú	Para la cena de esta semana, podríamos preparar fideos. Confirma si estás de acuerdo con la idea.
Medio	Organización de la cena	Por favor, asegúrate de comprar fideos y otros alimentos necesarios para la cena del viernes.
Medio	Preparación de la lista de compras	Es hora de preparar la lista de compras. Asegúrate de incluir fideos, los necesitamos para la cena del próximo miércoles.
Medio	Reunión para planificar la cena	Necesitamos planificar el menú para la cena. Los fideos son una opción, así que revisa tu disponibilidad para comprar.
Medio	Confirmación de la compra	Por favor, confirma si podrás ir a comprar fideos para la cena de este fin de semana. 
Medio	Planificación de la semana	Piensa en incluir fideos en el menú de la próxima semana. Haremos la compra el miércoles.
Medio	Revisión de la receta	Asegúrate de que tengamos fideos para la receta que planeamos preparar el fin de semana.
Medio	Cambio en la cena	La cena ha cambiado, así que por favor compra fideos para la nueva receta que vamos a hacer.
Medio	Recordatorio de compra	Este es un recordatorio para que no olvides comprar fideos para la cena del jueves. Es mejor que estemos preparados.
Urgente	Reunión de emergencia	Se ha convocado una reunión de emergencia para hoy a las 3 PM. Tu asistencia es obligatoria.
Urgente	Informe de proyecto retrasado	El informe del proyecto debe ser entregado hoy. Asegúrate de tenerlo listo a más tardar a las 5 PM.
Urgente	Actualización del sistema	El sistema debe ser actualizado de inmediato para evitar problemas de seguridad. Por favor, realiza la actualización ahora.
Urgente	Contrato pendiente	Firma el contrato pendiente antes de finalizar el día para que podamos avanzar con el proyecto.
Urgente	Solicitud de vacaciones	Tu solicitud de vacaciones debe ser aprobada antes de mañana. Asegúrate de enviarla a Recursos Humanos.
Urgente	Cita médica urgente	Tu cita médica ha sido programada para mañana. Es crucial que asistas para evaluar tu salud.
Urgente	Resultados de pruebas	Los resultados de tus pruebas médicas están listos. Debes acudir a la consulta para discutirlos hoy.
Urgente	Medicamento crítico	Es imperativo que recojas tu medicamento antes del fin de semana. Tu salud depende de este tratamiento.
Urgente	Cambio de médico	Tu médico ha cambiado la fecha de tu próxima cita. Por favor, asegúrate de confirmar tu asistencia.
Urgente	Consulta de urgencia	Necesitas asistir a una consulta médica de urgencia. Por favor, no la pospongas.
Medio	Lavar la ropa	No olvides lavar la ropa hoy. Es mejor que lo hagas antes de que se acumule más.
Medio	Organizar el armario	Podrías organizar el armario este fin de semana. Así será más fácil encontrar lo que necesitas.
Medio	Pagar la factura de electricidad	Tienes que pagar la factura de electricidad antes del fin de mes. No la dejes para el último momento.
Medio	Comprar víveres	Recuerda hacer la compra de víveres el sábado. Haremos una comida en casa y necesitamos varios ingredientes.
Medio	Planificación de la semana	Es hora de planificar la semana. Revisa tus tareas y asegúrate de que todo esté en orden.
Urgente	Reportar falla de equipo	El equipo ha fallado y necesita ser reparado inmediatamente para evitar interrupciones en el trabajo.
Urgente	Revisar la auditoría	La auditoría está programada para mañana. Debes revisarla y estar preparado para responder preguntas.
Urgente	Cambio en la política de la empresa	Se ha implementado un cambio importante en la política de la empresa. Todos los empleados deben ser informados de inmediato.
Urgente	Cita con el especialista	Tu cita con el especialista es mañana a las 10 AM. Asegúrate de tener todos los documentos necesarios.
Urgente	Recoger resultados de exámenes	Tienes que recoger los resultados de tus exámenes médicos hoy. Es esencial para tu tratamiento.
Medio	Actualizar tu CV	Es un buen momento para actualizar tu CV. Podrías necesitarlo pronto para nuevas oportunidades.
Medio	Revisar los gastos del mes	Revisa los gastos del mes y asegúrate de que todo esté en orden antes de finalizar el informe financiero.
Medio	Planificar la reunión del equipo	Necesitas planificar la reunión del equipo para la próxima semana. Reúne los puntos que se deben discutir.
Medio	Organizar documentos importantes	Tómate un tiempo para organizar tus documentos importantes. Será útil para futuras referencias.
Medio	Comprar medicamentos de rutina	Asegúrate de comprar tus medicamentos de rutina esta semana para no quedarte sin ellos.
Poco Urgente	Revisar la presentación	La presentación para la próxima semana necesita ser revisada. Puedes hacerlo cuando tengas tiempo.
Poco Urgente	Leer el informe de investigación	No olvides leer el informe de investigación. No es urgente, pero sería bueno que lo hagas pronto.
Poco Urgente	Organizar la biblioteca	Sería útil organizar la biblioteca. Puedes hacerlo a lo largo de la semana sin prisa.
Poco Urgente	Actualizar el software	El software tiene una actualización disponible. No es urgente, pero es recomendable hacerlo pronto.
Poco Urgente	Revisar la lista de tareas	Revisa tu lista de tareas y ajusta las prioridades. Hazlo cuando tengas un momento libre.
Poco Urgente	Consultar a un médico de cabecera	Tienes que consultar a tu médico de cabecera. No es urgente, pero no lo dejes pasar mucho tiempo.
Poco Urgente	Reservar cita médica	Considera reservar una cita médica para el chequeo anual. No es urgente, pero es importante.
Poco Urgente	Revisar el calendario de cumpleaños	Revisa el calendario de cumpleaños para asegurarte de que no te pierdas ningún evento. Tómate tu tiempo.
Poco Urgente	Organizar el armario	Es hora de organizar el armario. No es urgente, pero te ayudará a tener más espacio.
Poco Urgente	Enviar la tarjeta de cumpleaños	Ten en cuenta enviar la tarjeta de cumpleaños. Puedes hacerlo en cualquier momento antes del día especial.
Poco Urgente	Revisar correos antiguos	Tómate un tiempo para revisar correos antiguos. No es urgente, pero puede contener información útil.
Poco Urgente	Cambiar la contraseña	Es buena idea cambiar la contraseña de tu cuenta. No es urgente, pero es recomendable hacerlo de vez en cuando.
Poco Urgente	Actualizar el currículum	Revisa y actualiza tu currículum. No es urgente, pero sería útil tenerlo al día.
Poco Urgente	Leer un libro	Considera leer ese libro que compraste hace tiempo. No es urgente, pero disfrutarás el tiempo de lectura.
Poco Urgente	Hacer limpieza de primavera	Tómate un día para hacer una limpieza de primavera en casa. No es urgente, pero es gratificante.
Poco Urgente	Revisar finanzas personales	Revisa tus finanzas personales y ajusta tu presupuesto. No es urgente, pero es importante estar al tanto.
Poco Urgente	Planificar las vacaciones	Piensa en planificar tus vacaciones. No es urgente, pero es bueno tenerlo en mente.
Poco Urgente	Hacer un chequeo dental	Considera hacer un chequeo dental. No es urgente, pero es recomendable no dejar pasar mucho tiempo.
Poco Urgente	Organizar las fotos digitales	Dedica tiempo a organizar tus fotos digitales. No es urgente, pero te ayudará a tener todo en orden.
Poco Urgente	Actualizar tus redes sociales	Revisa y actualiza tus perfiles en redes sociales. No es urgente, pero es bueno mantenerlos al día.






